titles,links,content,time,media
馬陷苦戰 美媒：貧富差距擴大,https://news.ltn.com.tw/news/politics/paper/553880,報導〕台灣明天舉行總統大選，全球矚目，國際主要媒體普遍認為，尋求連任的馬英九與民進黨候選人蔡英文勢均力敵，甚至陷入苦戰，而經濟是這次大選的核心焦點。美國「基督教科學箴言報」甚至提到，由於貧富差距拉大至將...,2012/1/13,Liberal Times
蔡兄姊催票 誠意足,https://news.ltn.com.tw/news/politics/paper/553878,〔記者花孟璟／花蓮報導〕選戰倒數，候選人的「分身」也加足馬力跑行程。民進黨總統候選人蔡英文的胞姊蔡瀛如、胞兄蔡瀛政昨代妹出征，到花蓮掃街，蔡瀛如九十度彎腰鞠躬展現拜票誠意，還有死忠支持者與她合照，表示「...,2012/1/13,Liberal Times
周美青拜票 攤商嗆,https://news.ltn.com.tw/news/politics/paper/553877,九昏庸無能下台」牌子，並高喊要馬下台，之後在友人勸說下離開；還有一位民眾在遠處以大聲公喊「蔡英文加油、凍蒜」，隨即被維安人員請離。...,2012/1/13,Liberal Times
蘇嘉全預期 客家票大幅成長,https://news.ltn.com.tw/news/politics/paper/553874,"去挺藍的鄉親都改挺綠，而且越到選前這種氣氛越明顯。
強調蔡客家妹仔形象獲認同
他強調，蔡英文「客家妹仔」形象獲得絕大多數客家鄉親的認同，也認為此次客家族群要大團結，用選票把蔡英文送進總統府。...",2012/1/13,Liberal Times
蔡︰勝選後主持國際記者會,https://news.ltn.com.tw/news/politics/paper/553869,"蕭美琴昨天代打上陣
〔記者陳慧萍、李欣芳／綜合報導〕蔡英文競選總部昨天舉行國際記者會，蔡英文照原計畫前往桃園掃街拜票，改由國際事務部主任蕭美琴代打上陣；媒體詢問蔡英文為何不親自上場，...",2012/1/13,Liberal Times
批大聯合政府 唐飛︰教訓還不夠嗎,https://news.ltn.com.tw/news/politics/paper/553867,〔記者彭顯鈞、李欣芳／台北報導〕馬吳競選總部昨舉辦四海同心海外僑胞造勢大會，對於蔡英文提出的「大聯合政府」，前行政院長唐飛以自身經歷提出負面評價。他認為，選舉勝負尚未決定之前，就說要組成大聯合政府，代表...,2012/1/13,Liberal Times
馬回防雙北 進眷村感受溫暖,https://news.ltn.com.tw/news/politics/paper/553865,"隊也讓雙北交通更為打結，在對向車道不時有表情憤怒的民眾奮力倒豎拇指，更有婦人牽著孩子高喊「蔡英文凍蒜」反制。
馬英九下午主攻台北市五大國宅，包括內湖區湖光國宅、松山新城、興安國宅、成功國宅、萬華區崇仁...",2012/1/13,Liberal Times
這一票，投給公平正義！,https://news.ltn.com.tw/news/opinion/paper/553841,"魯殘忍（宋楚瑜悲憤語）地步。
選戰最後，回首選戰，國民黨馬陣營是怎麼「對付」民進黨候選人蔡英文的？怎麼「對付」親民黨候選人宋楚瑜的？就是手段惡質，令人不齒、不堪入目！
執政者濫權不擇手段求勝，政治倫...",2012/1/13,Liberal Times
陳定南妻公開信力挺 陳歐珀︰感謝寬容諒解,https://news.ltn.com.tw/news/local/paper/553834,"感謝部長夫人理解與寬容，抹黑、中傷、醜化是最惡質選舉文化，盼選民唾棄。期待鄉親支持民進黨、蔡英文，實踐公平正義的社會。
陳歐珀說，小乖的事，讓他懂得要反省檢討自己，才會有更多成長，他是農家子弟，參與政...",2012/1/13,Liberal Times
綠拚勝選 期落後10萬票內,https://news.ltn.com.tw/news/local/paper/553828,〔記者羅正明、沈繼昌、李容萍、周敏鴻／桃園報導〕民進黨總統候選人蔡英文陣營今晚六時在桃園縣立體育場有「改變台灣，決戰大桃園」選前之夜，選戰指揮中心總幹事黃宗源呼籲支持者站出來陪小英做最後衝刺，他估計桃園...,2012/1/13,Liberal Times
